groupe,Fail,Pass w/ Conditions,Pass
Bakery,0.24406645569620253,0.13291139240506328,0.6230221518987342
Catering Establishment,0.19238476953907815,0.1593186372745491,0.6482965931863728
Coffeeshop,0.275,0.15,0.575
Dessert Establishment,0.1724137931034483,0.28735632183908044,0.5402298850574713
Distributors,0.2,,0.8
Drinks Establishment,0.3602150537634409,0.08218125960061444,0.5576036866359447
Educational Establishment,0.20133209265879817,0.10152309123855233,0.6971448161026494
Health Establishment,0.20202020202020202,0.20202020202020202,0.5959595959595959
Kiosk,0.3157894736842105,0.07180742554059567,0.6124031007751938
Live Animals,0.32456140350877194,0.14912280701754385,0.5263157894736842
Market,0.2673859294223421,0.13391773432231963,0.5986963362553382
Medical Establishment,0.4444444444444444,,0.5555555555555556
Other,0.329938900203666,0.12898845892735913,0.5410726408689749
Religious Establishment,0.2222222222222222,0.14444444444444443,0.6333333333333333
Restaurant,0.2111141849367176,0.17735493464278304,0.6115308804204993
Retirement Homes,0.22564469914040114,0.1840974212034384,0.5902578796561605
Shared Kitchens,0.08359133126934984,0.05572755417956656,0.8606811145510835
Shelters,0.11827956989247312,0.0967741935483871,0.7849462365591398
Vending,0.36666666666666664,0.16666666666666666,0.4666666666666667
